sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13
2143.0,3683.0,3152.0,1.42,1.45,9.55,-0.04,-0.15,0.19,4095.0,4095.0,4095.0,4095.0,4095.0
3316.0,2098.0,3059.0,2.25,2.04,9.54,0.05,-0.32,0.2,4095.0,3327.0,3377.0,2816.0,4095.0
3899.0,2074.0,2949.0,2.53,3.5,7.96,0.36,-1.03,0.46,4042.0,3358.0,3414.0,2512.0,3022.0
3711.0,4095.0,3397.0,2.9,0.86,5.02,-1.81,1.66,-0.17,4095.0,4095.0,4095.0,4095.0,4095.0
886.0,4095.0,2844.0,1.4,1.54,9.51,0.97,-0.06,0.11,4095.0,4095.0,4095.0,4095.0,4095.0
944.0,4095.0,2934.0,0.36,2.75,7.14,-1.31,0.78,-0.15,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,1.3,0.23,12.73,-0.32,0.14,-0.82,4095.0,4095.0,4095.0,4095.0,4095.0
1623.0,3071.0,3143.0,-0.54,1.87,7.58,0.23,-0.07,-0.02,3329.0,3909.0,3875.0,3216.0,4095.0
1259.0,4095.0,3147.0,0.14,2.18,8.93,-0.9,-0.87,-0.0,4095.0,4095.0,4095.0,4095.0,4095.0
975.0,4095.0,3055.0,0.31,4.62,9.3,0.45,-0.09,0.19,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,1.11,4.78,6.91,1.46,-0.47,0.03,4095.0,4095.0,4095.0,4095.0,4095.0
2705.0,2773.0,3107.0,3.75,7.68,3.16,2.42,-0.58,-0.82,4095.0,4095.0,4095.0,4095.0,4095.0
2994.0,3467.0,3163.0,-0.13,9.99,-0.82,-0.49,0.1,0.02,4095.0,4095.0,4095.0,4095.0,4095.0
2928.0,4095.0,3138.0,0.34,9.09,2.09,-0.17,0.53,-0.19,2957.0,4095.0,4095.0,4095.0,4095.0
2742.0,4095.0,3226.0,-1.1,10.09,3.93,-0.41,0.8,-0.45,4095.0,4095.0,3664.0,3107.0,4095.0
3024.0,4095.0,3097.0,0.19,7.31,3.97,0.06,0.05,-0.21,4095.0,4095.0,4095.0,4095.0,4095.0
2975.0,3024.0,3222.0,-0.56,8.24,4.13,-0.18,0.42,-0.25,4095.0,4095.0,4095.0,4095.0,4095.0
4095.0,4095.0,4095.0,-0.53,10.55,3.18,-0.01,0.18,-0.05,4095.0,4095.0,4095.0,4095.0,4095.0
2967.0,3267.0,3282.0,-0.34,8.39,3.24,0.09,-0.17,-0.04,4095.0,4095.0,4095.0,4095.0,4095.0
