hall_1_L,hall_2_L,hall_3_L,flex_t_L,flex_i_L,flex_m_L,flex_r_L,flex_p_L,accel_x_L,accel_y_L,accel_z_L,gyro_x_L,gyro_y_L,gyro_z_L,hand,hall_1_R,hall_2_R,hall_3_R,flex_t_R,flex_i_R,flex_m_R,flex_r_R,flex_p_R,accel_x_R,accel_y_R,accel_z_R,gyro_x_R,gyro_y_R,gyro_z_R,hand,sign
3571.0,2786.0,4095.0,3935.0,3008.0,2790.0,3183.0,2583.0,-1.99,9.34,6.3,0.06,0.06,-0.13,0.0,1934.0,1655.0,3134.0,3502.0,4095.0,3693.0,4045.0,3962.0,0.14,9.71,2.69,-0.11,-0.08,-0.12,1.0,professor
3568.0,2800.0,4095.0,3921.0,3019.0,2795.0,3188.0,2588.0,-1.75,9.36,6.53,0.02,0.02,-0.21,0.0,1998.0,1585.0,3469.0,3571.0,4095.0,3744.0,4095.0,3965.0,1.06,9.39,2.74,-0.04,0.14,0.21,1.0,professor
3536.0,2800.0,4095.0,3946.0,3101.0,2831.0,3231.0,2640.0,-16.12,4.42,2.89,-0.59,1.11,3.08,0.0,2191.0,1663.0,1051.0,3563.0,4095.0,3749.0,4095.0,3926.0,15.49,9.16,-2.22,-0.89,-0.48,-3.41,1.0,professor
3583.0,2763.0,3951.0,3818.0,2879.0,2784.0,3119.0,2581.0,0.95,7.6,6.05,0.38,0.05,-3.63,0.0,2039.0,1519.0,4095.0,3617.0,4095.0,3572.0,3919.0,3851.0,3.45,6.44,1.92,0.68,-0.98,2.38,1.0,professor
3574.0,2992.0,4095.0,3863.0,3088.0,2763.0,3040.0,2559.0,-21.82,8.58,1.19,-0.76,0.47,1.22,0.0,1793.0,1595.0,4095.0,3463.0,4095.0,3545.0,4035.0,3789.0,13.01,11.66,-1.99,-2.17,0.04,-1.94,1.0,professor
3539.0,973.0,3095.0,3811.0,3126.0,2899.0,3270.0,2800.0,-16.95,7.3,2.74,-0.36,0.2,0.21,0.0,947.0,1818.0,896.0,3399.0,4095.0,3760.0,4095.0,3435.0,18.28,14.11,-5.79,0.15,-0.3,-1.1,1.0,professor
2640.0,2405.0,2647.0,3317.0,3466.0,3409.0,3805.0,3297.0,-7.21,-3.69,2.35,-2.8,-0.31,5.12,0.0,2067.0,2183.0,2023.0,3101.0,4095.0,4095.0,4095.0,4095.0,9.07,-1.58,-5.15,-4.46,1.44,-6.32,1.0,professor
2876.0,2525.0,2794.0,3450.0,3632.0,3515.0,4095.0,3478.0,9.58,-14.64,4.2,-3.28,-3.45,6.84,0.0,2636.0,2811.0,2604.0,2909.0,4095.0,4095.0,4095.0,4095.0,-1.82,-20.12,-1.23,-4.1,2.18,-8.09,1.0,professor
2970.0,2480.0,2794.0,3618.0,3791.0,4002.0,4095.0,3471.0,30.7,-9.87,12.33,-1.11,-0.44,4.07,0.0,2490.0,2762.0,2244.0,3147.0,4095.0,4095.0,4095.0,4095.0,-22.91,-22.98,1.93,-0.71,1.58,-3.23,1.0,professor
2961.0,2449.0,2815.0,3600.0,3792.0,3961.0,4095.0,3658.0,17.36,-0.29,9.96,0.65,-0.51,-0.09,0.0,2238.0,2740.0,2276.0,3207.0,4095.0,4095.0,4095.0,4095.0,-5.9,-7.59,0.58,0.17,-0.32,-0.34,1.0,professor
