hall_1,hall_2,hall_3,flex_t,flex_i,flex_m,flex_r,flex_p,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,a
3139.0,3158.0,3799.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.68,9.06,-0.03,0.0,-0.02,a
3151.0,3163.0,3782.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.03,-0.03,0.0,-0.01,a
3132.0,3165.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.06,-0.03,0.0,-0.01,a
3138.0,3158.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.65,9.09,-0.03,0.0,-0.01,a
3135.0,3166.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.06,-0.03,0.0,-0.02,a
3141.0,3165.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.1,-0.03,0.0,-0.01,a
3137.0,3157.0,3775.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.66,9.13,-0.03,0.0,-0.01,a
3141.0,3171.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.04,-0.03,0.0,-0.01,a
3125.0,3154.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.06,-0.03,0.0,-0.01,a
3137.0,3175.0,3780.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.67,9.07,-0.03,0.0,-0.01,a
3138.0,3166.0,3795.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.06,-0.03,0.0,-0.01,a
3123.0,3159.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-1.99,0.67,9.06,-0.03,0.0,-0.01,a
3151.0,3157.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.06,-0.03,0.0,-0.01,a
3132.0,3168.0,3794.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.06,-0.03,0.0,-0.01,a
3136.0,3152.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.05,-0.03,0.0,-0.02,a
3124.0,3155.0,3787.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.66,9.05,-0.03,0.0,-0.01,a
3138.0,3163.0,3782.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.65,9.06,-0.03,0.0,-0.02,a
3139.0,3156.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.04,-0.03,0.0,-0.02,a
3135.0,3152.0,3775.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.01,0.64,9.08,-0.03,0.0,-0.01,a
3136.0,3164.0,3798.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.08,-0.03,0.0,-0.02,a
3130.0,3162.0,3774.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.06,-0.03,0.0,-0.01,a
3133.0,3166.0,3785.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.02,-0.03,0.0,-0.02,a
3142.0,3152.0,3787.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.65,9.05,-0.03,0.0,-0.02,a
3135.0,3158.0,3802.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.65,9.09,-0.03,0.0,-0.02,a
3134.0,3167.0,3796.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.67,9.06,-0.03,0.0,-0.01,a
3123.0,3169.0,3783.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.66,9.06,-0.03,0.0,-0.01,a
3139.0,3163.0,3792.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.67,9.06,-0.03,0.0,-0.02,a
3131.0,3156.0,3807.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.07,-0.03,0.0,-0.01,a
3136.0,3159.0,3791.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.0,0.66,9.07,-0.03,0.0,-0.01,a
3133.0,3165.0,3796.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.04,0.63,9.05,-0.03,0.0,-0.01,a
3146.0,3158.0,3803.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.03,0.66,9.05,-0.03,0.0,-0.01,a
3141.0,3152.0,3809.0,4095.0,4095.0,4095.0,4095.0,4095.0,-2.02,0.66,9.05,-0.03,0.0,-0.01,a
